Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
55	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
56	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
57	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
58	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
59	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
60	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
61	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
62	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
63	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
64	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
65	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
66	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
67	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
68	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
69	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
70	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
71	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
72	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
73	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
74	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
75	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
76	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
77	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
78	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
79	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
80	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
81	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
82	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
83	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
84	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
85	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
86	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
87	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
88	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
89	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
90	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
91	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
92	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
93	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
94	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
95	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
96	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
97	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
98	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
99	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
100	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
101	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
102	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
103	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
104	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
105	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
106	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
107	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
108	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
109	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
